id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3366,KAFW,medium_airport,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,722,NA,US,US-TX,Fort Worth,no,KAFW,AFW,AFW,http://www.allianceairport.com/,https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport,
3367,KAGC,medium_airport,Allegheny County Airport,40.354401,-79.930199,1252,NA,US,US-PA,Pittsburgh,no,KAGC,AGC,AGC,,https://en.wikipedia.org/wiki/Allegheny_County_Airport,
3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144,NA,US,US-GA,Augusta,yes,KAGS,AGS,AGS,,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,
3369,KAHN,medium_airport,Athens Ben Epps Airport,33.94860077,-83.32630157,808,NA,US,US-GA,Athens,yes,KAHN,AHN,AHN,,https://en.wikipedia.org/wiki/Athens-Ben_Epps_Airport,
3370,KAKR,medium_airport,Akron Executive Airport,41.037498,-81.466904,1067,NA,US,US-OH,Akron,no,KAKR,AKC,AKR,,https://en.wikipedia.org/wiki/Akron_Executive_Airport,"akron executive, akron fulton international"
3371,KALB,medium_airport,Albany International Airport,42.74829865,-73.80169678,285,NA,US,US-NY,Albany,yes,KALB,ALB,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,
3372,KALI,medium_airport,Alice International Airport,27.7409,-98.026901,178,NA,US,US-TX,Alice,no,KALI,ALI,ALI,,https://en.wikipedia.org/wiki/Alice_International_Airport,
3373,KALM,medium_airport,Alamogordo White Sands Regional Airport,32.84051,-105.98794,4200,NA,US,US-NM,Alamogordo,no,KALM,ALM,ALM,,https://en.wikipedia.org/wiki/Alamogordo-White_Sands_Regional_Airport,
3374,KALN,medium_airport,St Louis Regional Airport,38.89030075,-90.04599762,544,NA,US,US-IL,Alton/St Louis,no,KALN,ALN,ALN,,https://en.wikipedia.org/wiki/St._Louis_Regional_Airport,Civic Memorial Airport
3375,KALO,medium_airport,Waterloo Regional Airport,42.55709839,-92.40029907,873,NA,US,US-IA,Waterloo,yes,KALO,ALO,ALO,,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,
19275,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,NA,US,US-CO,Alamosa,yes,KALS,ALS,ALS,https://www.sanluisvalleyairport.org/,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport,
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,NA,US,US-WA,Walla Walla,yes,KALW,ALW,ALW,,https://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport,
3377,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,NA,US,US-TX,Amarillo,yes,KAMA,AMA,AMA,http://airport.amarillo.gov/,https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,
3378,KANB,medium_airport,Anniston Regional Airport,33.5882,-85.8581,612,NA,US,US-AL,Anniston,no,KANB,ANB,ANB,,https://en.wikipedia.org/wiki/Anniston_Metropolitan_Airport,Anniston Metropolitan
3379,KAND,medium_airport,Anderson Regional Airport,34.49459839,-82.70939636,782,NA,US,US-SC,Anderson,no,KAND,AND,AND,,https://en.wikipedia.org/wiki/Anderson_Regional_Airport,
3380,KAOO,medium_airport,Altoona Blair County Airport,40.296398,-78.32,1503,NA,US,US-PA,Altoona,yes,KAOO,AOO,AOO,,https://en.wikipedia.org/wiki/Altoona-Blair_County_Airport,
19291,KAPA,medium_airport,Centennial Airport,39.57009888,-104.848999,5885,NA,US,US-CO,Denver,no,KAPA,APA,APA,,https://en.wikipedia.org/wiki/Centennial_Airport,Arapahoe County Airport
19293,KAPF,medium_airport,Naples Municipal Airport,26.15259933,-81.77529907,8,NA,US,US-FL,Naples,no,KAPF,APF,APF,,https://en.wikipedia.org/wiki/Naples_Municipal_Airport,
3381,KAPG,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57,NA,US,US-MD,Aberdeen Proving Grounds(Aberdeen),no,KAPG,APG,APG,,https://en.wikipedia.org/wiki/Phillips_Army_Airfield,
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI,Alpena,yes,KAPN,APN,APN,,https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport,
19301,KARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,24,NA,US,US-LA,New Iberia,no,KARA,ARA,ARA,http://www.flyiberiaparish.com/,https://en.wikipedia.org/wiki/Acadiana_Regional_Airport,
3383,KART,medium_airport,Watertown International Airport,43.991901,-76.021698,325,NA,US,US-NY,Watertown,yes,KART,ART,ART,,https://en.wikipedia.org/wiki/Watertown_International_Airport,
19308,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820,NA,US,US-CO,Aspen,yes,KASE,ASE,ASE,http://aspenairport.com/,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,
19314,KAST,medium_airport,Astoria Regional Airport,46.15800095,-123.8789978,15,NA,US,US-OR,Astoria,no,KAST,AST,AST,,https://en.wikipedia.org/wiki/Astoria_Regional_Airport,
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,NA,US,US-GA,Atlanta,yes,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfieldâ€“Jackson_Atlanta_International_Airport,
3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,NA,US,US-SD,Watertown,yes,KATY,ATY,ATY,,https://en.wikipedia.org/wiki/Watertown_Regional_Airport,
19321,KAUG,medium_airport,Augusta State Airport,44.3205986,-69.79730225,352,NA,US,US-ME,Augusta,yes,KAUG,AUG,AUG,,https://en.wikipedia.org/wiki/Augusta_State_Airport,
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,NA,US,US-TX,Austin,yes,KAUS,AUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,
19326,KAUW,medium_airport,Wausau Downtown Airport,44.92620087,-89.62660217,1201,NA,US,US-WI,Wausau,no,KAUW,AUW,AUW,http://www.ci.wausau.wi.us/Departments/Airport/GeneralInformation.aspx,https://en.wikipedia.org/wiki/Wausau_Downtown_Airport,
3387,KAVL,medium_airport,Asheville Regional Airport,35.436199,-82.541801,2165,NA,US,US-NC,Asheville,yes,KAVL,AVL,AVL,,https://en.wikipedia.org/wiki/Asheville_Regional_Airport,
3388,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963,962,NA,US,US-PA,Wilkes-Barre/Scranton,yes,KAVP,AVP,AVP,http://www.flyavp.com/,https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport,
3389,KAXN,medium_airport,Chandler Field,45.866299,-95.394699,1425,NA,US,US-MN,Alexandria,no,KAXN,AXN,AXN,,https://en.wikipedia.org/wiki/Alexandria_Municipal_Airport,
3390,KAZO,medium_airport,Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,874,NA,US,US-MI,Kalamazoo,yes,KAZO,AZO,AZO,,https://en.wikipedia.org/wiki/Kalamazoo-Battle_Creek_International_Airport,
3391,KBAB,medium_airport,Beale Air Force Base,39.136101,-121.436996,113,NA,US,US-CA,Marysville,no,KBAB,BAB,BAB,,https://en.wikipedia.org/wiki/Beale_Air_Force_Base,
3392,KBAD,medium_airport,Barksdale Air Force Base,32.501801,-93.662697,166,NA,US,US-LA,Bossier City,no,KBAD,BAD,BAD,,https://en.wikipedia.org/wiki/Barksdale_Air_Force_Base,
3393,KBAF,medium_airport,Westfield-Barnes Regional Airport,42.157799,-72.715599,271,NA,US,US-MA,Westfield,no,KBAF,BAF,BAF,,https://en.wikipedia.org/wiki/Westfield-Barnes_Regional_Airport,"Barnes Municipal Airport, Springfield"
3394,KBAK,medium_airport,Columbus Municipal Airport,39.262386,-85.895576,656,NA,US,US-IN,Columbus,no,KBAK,CLU,BAK,,https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(Indiana),
19351,KBAZ,medium_airport,New Braunfels Municipal Airport,29.7045,-98.042198,651,NA,US,US-TX,New Braunfels,no,KBAZ,,BAZ,https://www.nbtexas.org/2393/Airport---KBAZ,https://en.wikipedia.org/wiki/New_Braunfels_Regional_Airport,"3R5, Clear Springs AFB"
19353,KBBD,medium_airport,Curtis Field,31.17930031,-99.32389832,1827,NA,US,US-TX,Brady,no,KBBD,BBD,BBD,,https://en.wikipedia.org/wiki/Curtis_Field,
19357,KBCE,medium_airport,Bryce Canyon Airport,37.70640183,-112.1449966,7590,NA,US,US-UT,Bryce Canyon,no,KBCE,BCE,BCE,http://www.brycecanyonairport.com/,https://en.wikipedia.org/wiki/Bryce_Canyon_Airport,
3395,KBDE,medium_airport,Baudette International Airport,48.72840118,-94.61219788,1086,NA,US,US-MN,Baudette,no,KBDE,BDE,BDE,,https://en.wikipedia.org/wiki/Baudette_International_Airport,
3396,KBDL,medium_airport,Bradley International Airport,41.93851,-72.688066,173,NA,US,US-CT,Hartford,yes,KBDL,BDL,BDL,http://www.bradleyairport.com/,https://en.wikipedia.org/wiki/Bradley_International_Airport,"HFD, Hartford"
3397,KBDR,medium_airport,Igor I Sikorsky Memorial Airport,41.16350174,-73.12619781,9,NA,US,US-CT,Bridgeport,yes,KBDR,BDR,BDR,,https://en.wikipedia.org/wiki/Sikorsky_Memorial_Airport,
3398,KBED,medium_airport,Laurence G Hanscom Field,42.47000122,-71.28900146,133,NA,US,US-MA,Bedford,no,KBED,BED,BED,http://www.massport.com/hansc/,https://en.wikipedia.org/wiki/Hanscom_Field,Hanscom Air Force Base
3399,KBFD,medium_airport,Bradford Regional Airport,41.80310059,-78.64009857,2143,NA,US,US-PA,Bradford,yes,KBFD,BFD,BFD,,https://en.wikipedia.org/wiki/Bradford_Regional_Airport,
3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,NA,US,US-NE,Scottsbluff,yes,KBFF,BFF,BFF,,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport,William B. Heilig Field
3401,KBFI,medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,21,NA,US,US-WA,Seattle,yes,KBFI,BFI,BFI,,https://en.wikipedia.org/wiki/Boeing_Field,
3402,KBFL,medium_airport,Meadows Field,35.433601,-119.056999,510,NA,US,US-CA,Bakersfield,yes,KBFL,BFL,BFL,,https://en.wikipedia.org/wiki/Meadows_Field_Airport,
3403,KBFM,medium_airport,Mobile Downtown Airport,30.62680054,-88.06809998,26,NA,US,US-AL,Mobile,no,KBFM,BFM,BFM,,https://en.wikipedia.org/wiki/Mobile_Downtown_Airport,
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,NA,US,US-NY,Binghamton,yes,KBGM,BGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field"
3405,KBGR,medium_airport,Bangor International Airport,44.8074,-68.828102,192,NA,US,US-ME,Bangor,yes,KBGR,BGR,BGR,,https://en.wikipedia.org/wiki/Bangor_International_Airport,
19373,KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,NA,US,US-ME,Bar Harbor,yes,KBHB,BHB,BHB,,https://en.wikipedia.org/wiki/Hancock_County-Bar_Harbor_Airport,
3406,KBHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,650,NA,US,US-AL,Birmingham,yes,KBHM,BHM,BHM,http://www.flybirmingham.com/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),
3407,KBIF,medium_airport,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,3946,NA,US,US-TX,Fort Bliss/El Paso,no,KBIF,BIF,BIF,https://www.bliss.army.mil/biggs/,https://en.wikipedia.org/wiki/Biggs_Army_Airfield,Fort Bliss
19377,KBIH,medium_airport,Eastern Sierra Regional Airport,37.37310028,-118.3639984,4124,NA,US,US-CA,Bishop,no,KBIH,BIH,BIH,http://www.inyocounty.us/Airport/index.html,https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport,
3408,KBIL,medium_airport,Billings Logan International Airport,45.807701,-108.542999,3652,NA,US,US-MT,Billings,yes,KBIL,BIL,BIL,,https://en.wikipedia.org/wiki/Billings_Logan_International_Airport,
3409,KBIS,medium_airport,Bismarck Municipal Airport,46.77270126,-100.7460022,1661,NA,US,US-ND,Bismarck,yes,KBIS,BIS,BIS,http://bismarckairport.com/,https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport,
3410,KBIX,medium_airport,Keesler Air Force Base,30.41040039,-88.92440033,33,NA,US,US-MS,Biloxi,no,KBIX,BIX,BIX,,https://en.wikipedia.org/wiki/Keesler_Air_Force_Base,
3411,KBJC,medium_airport,Rocky Mountain Metropolitan Airport,39.90879822,-105.1169968,5673,NA,US,US-CO,Denver,no,KBJC,BJC,BJC,,https://en.wikipedia.org/wiki/Rocky_Mountain_Metropolitan_Airport,"Jefferson County Airport, Jeffco Airport"
19380,KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,1391,NA,US,US-MN,Bemidji,no,KBJI,BJI,BJI,http://www.bemidjiairport.org/,https://en.wikipedia.org/wiki/Bemidji_Regional_Airport,
3412,KBKE,medium_airport,Baker City Municipal Airport,44.83729935,-117.8089981,3373,NA,US,US-OR,Baker City,no,KBKE,BKE,BKE,http://www.bakeraircraft.com/,https://en.wikipedia.org/wiki/Baker_City_Municipal_Airport,
3413,KBKF,medium_airport,Buckley Space Force Base,39.701698,-104.751999,5662,NA,US,US-CO,Aurora,no,KBKF,BFK,BKF,https://www.buckley.spaceforce.mil/,https://en.wikipedia.org/wiki/Buckley_Space_Force_Base,"Buckley AFB, Buckley ANGB, Denver NAS, Buckley Field, Demolition Bombing Rangeâ€“Lowry Auxiliary Field"
3414,KBKL,medium_airport,Burke Lakefront Airport,41.51750183,-81.6832962,583,NA,US,US-OH,Cleveland,no,KBKL,BKL,BKL,http://www.clevelandairport.com/site/470/default.aspx,https://en.wikipedia.org/wiki/Cleveland_Burke_Lakefront_Airport,
3415,KBKW,medium_airport,Raleigh County Memorial Airport,37.78730011,-81.12419891,2504,NA,US,US-WV,Beckley,yes,KBKW,BKW,BKW,,https://en.wikipedia.org/wiki/Beckley_Raleigh_County_Memorial_Airport,
19387,KBLF,medium_airport,Mercer County Airport,37.295799,-81.207703,2857,NA,US,US-WV,Bluefield,yes,KBLF,BLF,BLF,,https://en.wikipedia.org/wiki/Mercer_County_Airport_(West_Virginia),
19388,KBLH,medium_airport,Blythe Airport,33.61920166,-114.7170029,399,NA,US,US-CA,Blythe,no,KBLH,BLH,BLH,,https://en.wikipedia.org/wiki/Blythe_Airport,
3416,KBLI,medium_airport,Bellingham International Airport,48.7928009,-122.538002,170,NA,US,US-WA,Bellingham,yes,KBLI,BLI,BLI,,https://en.wikipedia.org/wiki/Bellingham_International_Airport,
3417,KBLV,medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,NA,US,US-IL,Belleville,yes,KBLV,BLV,BLV,,https://en.wikipedia.org/wiki/Scott_Air_Force_Base,Scott Air Force Base
3418,KBMG,medium_airport,Monroe County Airport,39.14599991,-86.61669922,846,NA,US,US-IN,Bloomington,no,KBMG,BMG,BMG,,https://en.wikipedia.org/wiki/Monroe_County_Airport_(Indiana),
3419,KBMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871,NA,US,US-IL,Bloomington/Normal,yes,KBMI,BMI,BMI,,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport,
3420,KBNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,599,NA,US,US-TN,Nashville,yes,KBNA,BNA,BNA,,https://en.wikipedia.org/wiki/Nashville_International_Airport,
19397,KBNO,medium_airport,Burns Municipal Airport,43.590463,-118.955154,4148,NA,US,US-OR,Burns,no,KBNO,BNO,BNO,http://www.ci.burns.or.us/airport.html,https://en.wikipedia.org/wiki/Burns_Municipal_Airport,
3421,KBOI,medium_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,NA,US,US-ID,Boise,yes,KBOI,BOI,BOI,http://www.cityofboise.org/departments/airport/,https://en.wikipedia.org/wiki/Boise_Airport,"Boise Air Terminal, Gowen Field"
3422,KBOS,large_airport,Logan International Airport,42.3643,-71.005203,20,NA,US,US-MA,Boston,yes,KBOS,BOS,BOS,http://www.massport.com/logan/,https://en.wikipedia.org/wiki/Logan_International_Airport,General Edward Lawrence Logan International Airport
19401,KBPI,medium_airport,Miley Memorial Field,42.58509827,-110.1110001,6990,NA,US,US-WY,Big Piney,no,KBPI,BPI,BPI,,https://en.wikipedia.org/wiki/Miley_Memorial_Field,Big Piney-Marbleton Airport
19402,KBPK,medium_airport,Ozark Regional Airport,36.3689003,-92.47049713,928,NA,US,US-AR,Mountain Home,no,KBPK,WMH,BPK,http://www.flytheozarks.com/,https://en.wikipedia.org/wiki/Ozark_Regional_Airport,Baxter County Regional Airport
3423,KBPT,medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,15,NA,US,US-TX,Beaumont/Port Arthur,yes,KBPT,BPT,BPT,https://flysetx.com/,https://en.wikipedia.org/wiki/Jack_Brooks_Regional_Airport,Southeast Texas Regional
3424,KBQK,medium_airport,Brunswick Golden Isles Airport,31.25880051,-81.46649933,26,NA,US,US-GA,Brunswick,yes,KBQK,BQK,BQK,,https://en.wikipedia.org/wiki/Brunswick_Golden_Isles_Airport,
19406,KBRD,medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,1232,NA,US,US-MN,Brainerd,yes,KBRD,BRD,BRD,http://brainerdairport.com/,https://en.wikipedia.org/wiki/Brainerd_Lakes_Regional_Airport,Crow Wing County Airport
3425,KBRL,medium_airport,Southeast Iowa Regional Airport,40.78319931,-91.12550354,698,NA,US,US-IA,Burlington,yes,KBRL,BRL,BRL,,https://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport,
3426,KBRO,medium_airport,Brownsville South Padre Island International Airport,25.90679932,-97.42590332,22,NA,US,US-TX,Brownsville,yes,KBRO,BRO,BRO,,https://en.wikipedia.org/wiki/Brownsville/South_Padre_Island_International_Airport,
3427,KBTL,medium_airport,Battle Creek Executive Airport at Kellogg Field,42.307301,-85.251503,952,NA,US,US-MI,Battle Creek,no,KBTL,BTL,BTL,http://www.battlecreekmi.gov/City_Government/Departments/W_K__Kellogg_Airport.htm,https://en.wikipedia.org/wiki/W.K._Kellogg_Regional_Airport,W K Kellogg
3428,KBTM,medium_airport,Bert Mooney Airport,45.95479965,-112.4970016,5550,NA,US,US-MT,Butte,yes,KBTM,BTM,BTM,,https://en.wikipedia.org/wiki/Bert_Mooney_Airport,
3429,KBTR,medium_airport,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70,NA,US,US-LA,Baton Rouge,yes,KBTR,BTR,BTR,,https://en.wikipedia.org/wiki/Baton_Rouge_Metropolitan_Airport,
3430,KBTV,medium_airport,Burlington International Airport,44.471901,-73.153297,335,NA,US,US-VT,South Burlington,yes,KBTV,BTV,BTV,http://www.vermontairports.com/btv.html,https://en.wikipedia.org/wiki/Burlington_International_Airport,
3431,KBUF,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,728,NA,US,US-NY,Buffalo,yes,KBUF,BUF,BUF,,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport,
3432,KBUR,medium_airport,Bob Hope Airport,34.197703,-118.356378,778,NA,US,US-CA,Burbank,yes,KBUR,BUR,BUR,,,
19417,KBVI,medium_airport,Beaver County Airport,40.772499,-80.391403,1253,NA,US,US-PA,Beaver Falls,no,KBVI,BFP,BVI,,https://en.wikipedia.org/wiki/Beaver_County_Airport,
3433,KBVY,medium_airport,Beverly Regional Airport,42.584202,-70.916496,107,NA,US,US-MA,Beverly / Danvers,no,KBVY,BVY,BVY,http://www.beverlyairport.com/,https://en.wikipedia.org/wiki/Beverly_Municipal_Airport,
3434,KBWG,medium_airport,Bowling Green Warren County Regional Airport,36.96450043,-86.41970062,547,NA,US,US-KY,Bowling Green,no,KBWG,BWG,BWG,,https://en.wikipedia.org/wiki/Bowling_Green-Warren_County_Regional_Airport,
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,NA,US,US-MD,Baltimore,yes,KBWI,BWI,BWI,https://www.bwiairport.com/,https://en.wikipedia.org/wiki/Baltimore%E2%80%93Washington_International_Airport,WAS
3436,KBYH,medium_airport,Arkansas International Airport,35.96429825,-89.94400024,254,NA,US,US-AR,Blytheville,no,KBYH,BYH,BYH,,https://en.wikipedia.org/wiki/Arkansas_International_Airport,"Blytheville AFB, Eaker AFB"
19429,KBYI,medium_airport,Burley Municipal Airport,42.54259872,-113.7720032,4150,NA,US,US-ID,Burley,no,KBYI,BYI,BYI,http://burleyidaho.org/city-of-burley/airport/,https://en.wikipedia.org/wiki/Burley_Municipal_Airport,J R Jack Simplot Airport
19430,KBYS,medium_airport,Bicycle Lake Army Air Field,35.2804985,-116.6299973,2350,NA,US,US-CA,Fort Irwin/Barstow,no,KBYS,BYS,BYS,,https://en.wikipedia.org/wiki/Bicycle_Lake_Army_Airfield,
3437,KBZN,medium_airport,Gallatin Field,45.77750015,-111.1529999,4473,NA,US,US-MT,Bozeman,yes,KBZN,BZN,BZN,,https://en.wikipedia.org/wiki/Gallatin_Field_Airport,
3438,KCAE,medium_airport,Columbia Metropolitan Airport,33.938801,-81.119499,236,NA,US,US-SC,Columbia,yes,KCAE,CAE,CAE,,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport,
3439,KCAK,medium_airport,Akron Canton Regional Airport,40.91609955,-81.44219971,1228,NA,US,US-OH,Akron,yes,KCAK,CAK,CAK,,https://en.wikipedia.org/wiki/Akron-Canton_Regional_Airport,
3440,KCAR,medium_airport,Caribou Municipal Airport,46.871498,-68.017899,626,NA,US,US-ME,Caribou,no,KCAR,CAR,CAR,,https://en.wikipedia.org/wiki/Caribou_Municipal_Airport,
3441,KCBM,medium_airport,Columbus Air Force Base,33.643799,-88.443802,219,NA,US,US-MS,Columbus,no,KCBM,CBM,CBM,,https://en.wikipedia.org/wiki/Columbus_Air_Force_Base,
19470,KCCY,medium_airport,Northeast Iowa Regional Airport,43.07260132,-92.6108017,1125,NA,US,US-IA,Charles City,no,KCCY,CCY,CCY,,https://en.wikipedia.org/wiki/Northeast_Iowa_Regional_Airport,Charles City Municipal Airport
3442,KCDC,medium_airport,Cedar City Regional Airport,37.70100021,-113.098999,5622,NA,US,US-UT,Cedar City,yes,KCDC,CDC,CDC,,https://en.wikipedia.org/wiki/Cedar_City_Regional_Airport,
19474,KCDR,medium_airport,Chadron Municipal Airport,42.83760071,-103.0950012,3297,NA,US,US-NE,Chadron,no,KCDR,CDR,CDR,,https://en.wikipedia.org/wiki/Chadron_Municipal_Airport,
19475,KCDS,medium_airport,Childress Municipal Airport,34.43379974,-100.288002,1954,NA,US,US-TX,Childress,no,KCDS,CDS,CDS,,https://en.wikipedia.org/wiki/Childress_Municipal_Airport,
3443,KCEC,medium_airport,Jack Mc Namara Field Airport,41.78020096,-124.2369995,61,NA,US,US-CA,Crescent City,yes,KCEC,CEC,CEC,,https://en.wikipedia.org/wiki/Del_Norte_County_Airport,Jack McNamara Field
3444,KCEF,medium_airport,Westover Metropolitan Airport / Westover Air Reserve Base,42.194,-72.534798,241,NA,US,US-MA,Chicopee,no,KCEF,CEF,CEF,,https://en.wikipedia.org/wiki/Westover_Air_Reserve_Base/Metropolitan_Airport,
3445,KCEW,medium_airport,Bob Sikes Airport,30.77879906,-86.52210236,213,NA,US,US-FL,Crestview,no,KCEW,CEW,CEW,http://www.flycew.com/,https://en.wikipedia.org/wiki/Bob_Sikes_Airport,
